"full_name","url","description","language","stars","forks","archived","created_at","updated_at","pushed_at","topics"
"NakedJack/GreenGrowing","https://github.com/NakedJack/GreenGrowing","Startup for improving education in Tasmania","C++","0","0","False","2019-09-08T01:37:21Z","2019-09-08T01:41:17Z","2019-09-08T01:41:16Z",""
"ConservationPrioritization/Tasmania-Conservation-Prioritization","https://github.com/ConservationPrioritization/Tasmania-Conservation-Prioritization","prioritization for conservation planning in Tasmania",,"0","0","False","2022-09-12T11:22:21Z","2022-09-12T11:22:21Z","2022-10-01T04:38:47Z",""
"Sienna-Cowen/a.checkers-photography","https://github.com/Sienna-Cowen/a.checkers-photography","Young photographer based in Tasmania, Australia","CSS","0","0","False","2018-01-29T01:10:17Z","2020-08-27T10:31:16Z","2020-08-27T10:31:14Z",""
"msalem0056/streamlit-service-tasmania","https://github.com/msalem0056/streamlit-service-tasmania","A short streamlit app ",,"0","0","False","2021-04-11T22:30:21Z","2021-04-11T22:30:21Z","2021-04-11T22:30:22Z",""
"fezads/lobo-da-tasmania","https://github.com/fezads/lobo-da-tasmania",,"HTML","0","0","False","2021-05-06T23:44:27Z","2021-05-07T00:04:42Z","2021-05-07T00:04:40Z",""
"liveplaydirect/Tasmanian-Hillclimb-Championship","https://github.com/liveplaydirect/Tasmanian-Hillclimb-Championship",,"HTML","0","0","False","2021-07-03T20:56:47Z","2021-07-03T20:57:53Z","2021-07-03T20:57:50Z",""
"tasmaniaman/tasmaniaman.github.io","https://github.com/tasmaniaman/tasmaniaman.github.io",,"JavaScript","0","0","False","2020-06-17T09:38:54Z","2020-09-23T01:15:36Z","2022-12-06T10:01:35Z",""
"polianalemos/DiabodaTasmania_RWD","https://github.com/polianalemos/DiabodaTasmania_RWD","Primeira aula de RWD","HTML","0","0","False","2021-05-05T02:18:09Z","2021-05-05T02:18:47Z","2021-05-05T02:18:45Z",""
"dentalimplanttasmania/dental-implants-tasmania","https://github.com/dentalimplanttasmania/dental-implants-tasmania",,"HTML","0","0","False","2025-08-30T11:48:13Z","2025-08-30T11:50:38Z","2025-08-30T11:48:26Z",""
"dennisroethig/tasmania-touring.com","https://github.com/dennisroethig/tasmania-touring.com",,"HTML","0","0","False","2013-08-15T21:34:35Z","2016-02-28T05:09:11Z","2016-02-28T05:09:10Z",""
"taziedevil/tasmania-realestate-heatmap","https://github.com/taziedevil/tasmania-realestate-heatmap",,"HTML","0","0","False","2025-05-06T03:37:47Z","2025-05-06T04:22:14Z","2025-05-06T04:22:11Z",""
"yilinqiao/tasmania-2025-trip","https://github.com/yilinqiao/tasmania-2025-trip",,"HTML","0","0","False","2026-02-07T06:30:20Z","2026-02-07T08:22:49Z","2026-02-07T08:22:46Z",""
"dachshundpuppy/miniature-dachshund-puppies-tasmania","https://github.com/dachshundpuppy/miniature-dachshund-puppies-tasmania",,"HTML","0","0","False","2025-11-17T15:50:27Z","2025-11-17T17:42:34Z","2025-11-17T16:03:19Z",""
"surveyreports/utas-spc","https://github.com/surveyreports/utas-spc","University of Tasmania - Scenario Planning Capability","HTML","0","0","False","2022-07-31T17:33:23Z","2022-07-31T17:41:20Z","2022-08-05T07:23:42Z",""
"taziedevil/tasmania-suburb-report-table","https://github.com/taziedevil/tasmania-suburb-report-table",,"HTML","0","0","False","2025-05-13T08:50:46Z","2025-05-14T00:01:55Z","2025-05-14T00:01:52Z",""
"PhilippeGiorgino/numpy-tasmanian-devil","https://github.com/PhilippeGiorgino/numpy-tasmanian-devil",,"Jupyter Notebook","0","1","False","2024-02-03T11:14:18Z","2024-02-04T09:41:36Z","2024-02-15T21:18:49Z",""
"paulieokay/coupes","https://github.com/paulieokay/coupes","Coupe maps of Tasmania's forests",,"0","0","False","2025-07-24T11:45:12Z","2025-08-05T06:42:12Z","2025-08-05T06:42:08Z",""
"taziedevil/tasmanian-suburb-table-map","https://github.com/taziedevil/tasmanian-suburb-table-map",,"HTML","0","0","False","2025-05-14T00:08:10Z","2025-05-14T05:42:44Z","2025-05-14T05:42:39Z",""
"asbrown1/Purify","https://github.com/asbrown1/Purify","Game Project for University of Tasmania","C#","0","0","False","2016-08-29T04:29:25Z","2016-08-29T05:04:20Z","2016-10-14T12:44:08Z",""
"martincherries-star/Bushmill-Tours","https://github.com/martincherries-star/Bushmill-Tours","Outdoor experience tours- North eastern Tasmania","HTML","0","0","False","2026-01-06T06:09:27Z","2026-01-06T06:15:42Z","2026-01-06T06:15:38Z",""
"joshgillies/tasmanian-developer-network","https://github.com/joshgillies/tasmanian-developer-network","Developers, developers, developers, developers!",,"0","0","False","2014-02-13T02:57:39Z","2014-02-13T02:57:39Z","2014-02-13T02:57:39Z",""
"tasmaniachinese/tasmaniachinese.github.io","https://github.com/tasmaniachinese/tasmaniachinese.github.io","TCSA","TypeScript","0","0","False","2025-10-02T09:37:10Z","2026-01-23T10:18:50Z","2026-01-23T10:19:01Z",""
"Dasarijahnavi09/Tasmanian_backpacker_bot","https://github.com/Dasarijahnavi09/Tasmanian_backpacker_bot",,"Python","0","0","False","2025-10-19T23:47:30Z","2025-10-19T23:49:50Z","2025-10-19T23:49:45Z",""
"motomazza-hub/tasmania-trip-diary","https://github.com/motomazza-hub/tasmania-trip-diary","Tasmania Motorcycle Trip Diary - Cloud Synced","HTML","0","0","False","2026-03-20T14:11:38Z","2026-03-20T15:03:21Z","2026-03-20T15:03:18Z",""
